t,o,h,l,c,v
1719327600000,61771.9,61960.0,61328.0,61819.6,780295.5
1719331200000,61819.6,61943.1,61360.0,61390.3,424522.7
1719334800000,61390.2,61788.1,61333.6,61393.0,299481.9
1719338400000,61393.0,62250.0,61134.0,62154.8,966121.7
1719342000000,62154.8,62438.0,61803.3,61979.2,556538.2
1719345600000,61977.5,62082.4,61881.7,61918.6,127029.7
1719349200000,61918.5,62033.0,61811.0,61921.0,76570.2
1719352800000,61921.0,62150.0,61854.1,61902.7,151986.5
1719356400000,61902.7,61937.7,61653.9,61793.8,235087.6
1719360000000,61793.9,61834.0,61628.9,61758.0,148512.3
1719363600000,61758.1,62177.0,61713.3,62077.0,287056.1
1719367200000,62077.1,62491.5,61999.9,62016.5,479489.5
1719370800000,62016.6,62067.9,61840.1,61925.9,239056.8
1719374400000,61925.9,61984.4,61708.0,61708.0,226783.2
1719378000000,61708.0,61812.1,61565.5,61570.3,283038.1
1719381600000,61570.3,61692.0,61530.0,61588.8,169606.8
1719385200000,61588.8,61820.7,61539.6,61732.1,228042.4
1719388800000,61732.1,61763.9,61368.4,61482.4,281686.1
1719392400000,61482.3,61529.2,61313.8,61379.6,209436.8
1719396000000,61379.5,61419.4,61161.6,61272.8,331853.2
1719399600000,61272.8,61570.6,61272.8,61443.5,234515.9
1719403200000,61443.5,61589.9,61330.0,61420.0,199341.6
1719406800000,61420.1,61834.7,61370.3,61754.0,403448.5
1719410400000,61754.0,61988.0,61543.0,61721.8,527279.7
1719414000000,61721.8,61760.0,61179.7,61480.0,591828.5
1719417600000,61480.0,61551.0,61162.5,61280.0,321559.7
1719421200000,61280.0,61379.1,60855.0,61257.1,824773.4
1719424800000,61257.1,61257.1,60912.0,60917.8,206248.9
1719428400000,60917.7,61148.4,60720.0,61002.1,564686.5
1719432000000,61002.1,61170.9,60720.0,61000.8,299345.1
1719435600000,61000.9,61100.1,60928.1,61071.1,102354.4
1719439200000,61071.1,61071.1,60786.8,60937.1,128505.0
1719442800000,60937.1,60987.1,60787.3,60864.9,142966.2
1719446400000,60864.9,61058.0,60765.2,60981.8,176905.0
1719450000000,60981.7,61162.5,60888.0,61060.2,160471.6
1719453600000,61061.4,61110.9,60869.9,61028.0,194705.1
1719457200000,61028.0,61299.6,60936.0,61035.7,218984.5
1719460800000,61035.7,61188.0,61014.0,61115.1,125736.7
1719464400000,61115.1,61160.1,60802.1,60810.8,189225.3
1719468000000,60810.7,60862.2,60620.0,60755.1,363905.8
1719471600000,60755.1,60919.9,60725.1,60803.3,150010.4
1719475200000,60803.3,60882.0,60737.5,60878.7,118096.8
1719478800000,60878.5,61349.9,60823.3,61286.0,442597.6
1719482400000,61286.0,61455.9,61100.0,61106.1,358961.1
1719486000000,61106.2,61323.2,61082.1,61194.2,178237.8
1719489600000,61194.1,61666.0,61153.4,61353.4,798444.6
1719493200000,61353.4,61998.6,61311.6,61990.0,1049579.0
1719496800000,61990.0,62400.0,61694.7,61737.1,1107077.4
1719500400000,61737.1,61857.4,61525.0,61582.0,599508.9
1719504000000,61580.3,61831.6,61530.0,61715.0,340112.7
1719507600000,61715.0,62022.5,61682.1,61828.2,250887.4
1719511200000,61828.1,61930.0,61730.0,61884.0,144399.4
1719514800000,61884.0,61894.2,61409.6,61454.8,257664.2
1719518400000,61454.8,61586.6,61362.7,61490.6,170136.7
1719522000000,61490.6,61598.1,61468.1,61546.1,73363.4
1719525600000,61546.2,61680.1,61517.3,61643.5,160257.1
1719529200000,61643.5,61716.2,61610.5,61702.3,110346.6
1719532800000,61702.4,61728.9,61475.9,61555.5,197298.7
1719536400000,61555.5,62230.0,61494.1,62081.0,488347.2
1719540000000,62081.1,62138.0,61569.9,61721.3,386363.5
1719543600000,61721.4,61911.9,61634.9,61817.2,170523.8
1719547200000,61817.1,61826.5,61511.1,61742.4,216461.9
1719550800000,61742.4,61744.0,61481.0,61607.3,258508.1
1719554400000,61607.3,61676.3,61512.4,61631.9,153474.1
1719558000000,61631.9,61632.0,61233.0,61344.0,425684.0
1719561600000,61344.0,61481.5,61213.0,61481.5,255784.7
1719565200000,61481.5,61595.0,61377.0,61555.0,204069.9
1719568800000,61555.0,61610.8,61451.6,61548.7,165234.5
1719572400000,61548.6,61799.0,61473.7,61698.2,268050.6
1719576000000,61698.3,61880.0,61256.0,61393.9,925857.8
1719579600000,61393.9,61840.3,61235.2,61296.3,731597.3
1719583200000,61296.3,61513.8,60778.4,60930.1,1029966.3
1719586800000,60930.2,61196.7,60755.0,61058.8,456506.0
1719590400000,61058.8,61115.9,60640.0,60948.5,541599.7
1719594000000,60948.4,61083.1,60700.0,60827.6,315320.7
1719597600000,60827.6,60883.5,60666.8,60841.2,156100.6
1719601200000,60844.0,60863.2,60102.0,60144.3,1040635.5
1719604800000,60144.5,60377.2,60050.0,60260.0,330346.6
1719608400000,60260.1,60420.0,60144.7,60370.4,171606.2
1719612000000,60370.5,60427.6,60292.1,60376.6,120858.6
1719615600000,60376.6,60458.8,60360.0,60430.9,100221.7
1719619200000,60431.0,60831.8,60405.0,60750.8,516039.3
1719622800000,60750.8,60998.7,60740.1,60889.6,366197.2
1719626400000,60889.7,60978.0,60695.0,60748.5,181680.1
1719630000000,60748.5,60809.5,60704.7,60755.3,86872.9
1719633600000,60755.4,60795.8,60686.2,60768.6,96015.2
1719637200000,60768.6,60785.0,60718.0,60753.5,58658.0
1719640800000,60753.6,60856.0,60734.1,60840.1,68307.2
1719644400000,60840.2,61127.9,60819.1,61043.1,453975.7
1719648000000,61043.1,61070.0,60902.3,60975.4,152776.8
1719651600000,60975.4,61000.0,60888.0,60971.6,99693.1
1719655200000,60971.6,61039.0,60910.0,60991.2,74847.8
1719658800000,60991.1,61227.5,60920.7,61098.0,310098.1
1719662400000,61097.9,61153.6,60980.0,61036.1,149236.7
1719666000000,61036.0,61189.4,61004.3,61094.0,151816.2
1719669600000,61093.9,61167.7,60946.7,61011.4,144979.8
1719673200000,61011.5,61115.0,60944.9,61115.0,118788.7
1719676800000,61114.9,61133.3,60906.6,61000.0,150712.3
1719680400000,60999.9,61052.6,60920.7,61027.5,52790.5
1719684000000,61027.5,61062.0,60980.9,61051.2,50004.7
1719687600000,61051.2,61081.4,60927.4,61050.7,61118.5
1719691200000,61050.6,61088.0,60960.4,61044.8,78416.3
1719694800000,61044.7,61118.1,60940.0,61054.2,100874.0
1719698400000,61054.2,61061.9,60829.3,60973.1,109071.9
1719702000000,60973.1,61061.8,60945.0,60992.1,55647.5
1719705600000,60992.2,61098.9,60914.4,61033.1,119602.8
1719709200000,61033.0,61054.6,60926.2,60964.0,100221.1
1719712800000,60964.0,60964.3,60762.0,60844.4,263691.5
1719716400000,60844.4,60950.0,60796.0,60905.2,95804.7
1719720000000,60905.3,60908.4,60761.6,60777.0,80075.5
1719723600000,60777.0,60820.8,60709.9,60795.5,127306.3
1719727200000,60795.5,61049.0,60770.0,61049.0,166925.7
1719730800000,61049.0,61799.2,61037.1,61528.9,1161689.8
1719734400000,61528.9,61613.3,61384.0,61550.1,251848.3
1719738000000,61550.1,61710.0,61500.0,61519.1,215060.0
1719741600000,61519.1,61632.9,61487.0,61532.8,118035.6
1719745200000,61532.8,61672.3,61512.9,61551.9,124421.9
1719748800000,61552.0,61656.5,61330.0,61499.9,218152.4
1719752400000,61499.9,61746.8,61448.6,61712.6,294115.3
1719756000000,61712.7,61878.8,61526.1,61589.2,351740.3
1719759600000,61589.1,61786.6,61588.0,61720.0,150884.0
1719763200000,61720.0,61750.0,61580.0,61601.2,108248.4
1719766800000,61601.2,61873.0,61601.2,61710.1,265083.8
1719770400000,61710.0,62122.9,61680.0,62052.2,316626.0
1719774000000,62052.1,62117.2,61876.8,62022.8,233911.1
1719777600000,62022.7,62399.9,61965.2,61974.6,443689.2
1719781200000,61974.5,62012.0,61819.9,61937.1,134231.7
1719784800000,61937.1,62975.7,61929.0,62898.0,892919.1
1719788400000,62896.4,63091.9,62768.0,62769.8,408067.1
1719792000000,62769.9,62943.7,62570.0,62931.7,372473.5
1719795600000,62931.6,63731.8,62891.2,63640.7,1250158.2
1719799200000,63640.7,63840.0,63300.0,63449.1,677843.6
1719802800000,63449.1,63526.4,63350.0,63436.0,228420.8
1719806400000,63437.3,63470.8,63216.0,63275.0,241144.2
1719810000000,63275.1,63447.7,63258.8,63423.4,142167.8
1719813600000,63423.4,63474.3,63280.9,63404.5,151308.6
1719817200000,63404.6,63435.0,63250.0,63276.8,150944.9
1719820800000,63276.8,63325.1,62833.3,62931.1,515275.2
1719824400000,62931.1,63009.4,62789.0,62949.9,240046.7
1719828000000,62949.9,63012.1,62794.9,62859.2,188841.6
1719831600000,62859.1,62871.8,62607.0,62679.6,394995.3
1719835200000,62679.6,62915.9,62650.1,62898.5,262464.4
1719838800000,62898.5,63096.5,62518.0,62695.5,734539.6
1719842400000,62695.6,62946.7,62613.3,62821.3,462210.3
1719846000000,62820.8,63179.0,62813.0,63126.3,439577.7
1719849600000,63126.3,63336.0,62958.1,63107.7,469040.3
1719853200000,63107.6,63688.0,63045.0,63686.0,525198.1
1719856800000,63685.9,63866.0,63436.4,63642.3,585302.9
1719860400000,63642.2,63642.3,63066.7,63221.6,496514.8
1719864000000,63221.7,63428.0,63161.1,63291.0,179079.7
1719867600000,63290.9,63290.9,63036.2,63129.6,127361.1
1719871200000,63129.7,63171.2,62816.0,62983.0,292947.4
1719874800000,62983.1,63050.0,62840.6,62905.3,138851.8
1719878400000,62905.3,62993.7,62786.5,62932.4,199116.8
1719882000000,62932.4,62977.3,62817.0,62929.9,143760.6
1719885600000,62929.9,63128.4,62918.7,62998.4,178944.5
1719889200000,62998.3,63298.7,62987.7,63130.9,195660.4
1719892800000,63130.9,63248.4,63026.8,63029.0,150638.0
1719896400000,63029.1,63104.2,62992.1,63025.9,114833.8
1719900000000,63025.8,63050.0,62819.9,62863.0,307429.7
1719903600000,62863.0,62875.8,62577.0,62638.7,427789.9
1719907200000,62638.6,62749.8,62409.9,62670.4,463005.6
1719910800000,62670.4,62793.3,62623.2,62658.0,169381.3
1719914400000,62656.7,62827.6,62500.4,62717.0,233361.8
1719918000000,62717.1,62873.5,62616.9,62827.8,206082.3
1719921600000,62827.9,63056.3,62718.8,62870.2,302041.5
1719925200000,62870.1,63165.0,62531.1,62629.0,697837.7
1719928800000,62629.1,62751.3,61877.0,62050.0,1642534.5
1719932400000,62050.1,62166.0,61836.9,61958.4,518987.8
1719936000000,61958.5,62046.0,61830.0,61941.9,379288.1
1719939600000,61941.8,62179.4,61893.9,62163.5,209062.8
1719943200000,62163.5,62373.0,62153.0,62328.4,296119.6
