t,o,h,l,c,v
1719086400000,64298.3,64306.8,64251.7,64275.7,17167.2
1719087300000,64275.7,64308.4,64267.9,64280.0,17833.8
1719088200000,64280.0,64280.1,64250.0,64257.3,9503.5
1719089100000,64257.4,64294.1,64257.3,64288.9,8230.6
1719090000000,64288.9,64299.2,64272.2,64299.2,8107.7
1719090900000,64299.3,64328.5,64299.2,64327.9,11103.1
1719091800000,64327.9,64327.9,64285.0,64292.7,16884.2
1719092700000,64292.8,64340.2,64292.7,64319.9,12484.1
1719093600000,64319.9,64327.3,64279.4,64279.4,8092.7
1719094500000,64279.4,64301.8,64269.6,64301.8,5716.5
1719095400000,64301.7,64311.8,64301.7,64305.0,4108.3
1719096300000,64305.1,64317.0,64304.9,64316.9,4381.9
1719097200000,64317.0,64331.3,64316.9,64321.0,7239.0
1719098100000,64321.1,64330.0,64312.9,64312.9,14483.6
1719099000000,64313.0,64313.0,64257.5,64257.6,24586.0
1719099900000,64257.5,64285.5,64253.8,64266.3,20061.5
1719100800000,64266.3,64356.5,64266.3,64356.5,23738.2
1719101700000,64356.4,64389.8,64329.3,64344.3,29008.6
1719102600000,64344.4,64498.7,64344.3,64491.9,65409.5
1719103500000,64491.9,64529.6,64436.3,64484.6,75339.9
1719104400000,64484.6,64523.0,64316.1,64380.0,75129.0
1719105300000,64379.9,64450.9,64345.1,64430.6,31425.9
1719106200000,64430.7,64494.0,64430.6,64450.2,19215.9
1719107100000,64450.2,64493.5,64445.1,64471.6,11526.7
1719108000000,64471.7,64471.7,64424.3,64426.5,10716.8
1719108900000,64426.6,64445.9,64390.1,64390.1,10755.2
1719109800000,64390.0,64425.7,64375.6,64375.6,14000.4
1719110700000,64375.7,64516.1,64368.2,64516.1,33628.8
1719111600000,64516.3,64518.0,64443.1,64443.1,28948.0
1719112500000,64443.1,64481.9,64443.1,64452.7,12374.8
1719113400000,64452.6,64467.5,64437.0,64446.0,17390.3
1719114300000,64446.1,64470.0,64416.8,64419.7,22239.0
1719115200000,64419.7,64430.7,64396.6,64409.4,28353.9
1719116100000,64409.4,64450.7,64385.0,64385.0,41602.9
1719117000000,64385.0,64387.2,64378.8,64383.4,13210.5
1719117900000,64383.5,64392.0,64381.4,64381.6,8727.3
1719118800000,64381.6,64429.3,64381.5,64400.0,11694.1
1719119700000,64400.1,64400.1,64361.6,64361.6,8167.9
1719120600000,64361.6,64361.6,64350.0,64360.0,18126.3
1719121500000,64360.0,64390.4,64359.9,64378.9,6897.1
1719122400000,64378.9,64388.5,64378.9,64388.4,8403.8
1719123300000,64388.5,64396.9,64388.5,64395.6,7673.4
1719124200000,64395.6,64424.4,64384.9,64404.9,11029.8
1719125100000,64404.9,64404.9,64378.0,64382.5,9116.6
1719126000000,64382.5,64398.7,64377.0,64398.7,8048.9
1719126900000,64398.6,64437.0,64398.6,64432.0,10967.0
1719127800000,64432.0,64432.0,64390.1,64390.5,14293.8
1719128700000,64390.5,64416.1,64382.9,64416.1,10195.2
1719129600000,64416.1,64437.3,64395.9,64396.0,12138.3
1719130500000,64395.9,64396.0,64380.6,64380.7,5462.7
1719131400000,64380.7,64380.7,64380.4,64380.5,6751.8
1719132300000,64380.4,64383.4,64374.9,64383.4,6539.2
1719133200000,64383.4,64424.0,64383.3,64420.9,22383.1
1719134100000,64420.9,64422.1,64403.1,64417.0,11789.1
1719135000000,64417.0,64417.0,64395.1,64408.2,13444.3
1719135900000,64408.1,64410.0,64397.2,64409.9,6252.6
1719136800000,64409.9,64410.0,64318.4,64349.0,59838.2
1719137700000,64349.1,64387.3,64337.3,64379.9,15994.4
1719138600000,64379.9,64379.9,64351.3,64351.3,10927.2
1719139500000,64351.3,64351.3,64288.0,64308.1,29376.9
1719140400000,64308.1,64328.4,64262.5,64328.4,36640.4
1719141300000,64328.4,64330.0,64251.3,64296.1,30240.6
1719142200000,64296.1,64335.1,64284.0,64308.5,18942.2
1719143100000,64308.5,64346.7,64293.7,64346.7,18308.9
1719144000000,64346.7,64354.7,64318.5,64326.0,12670.3
1719144900000,64325.9,64353.8,64320.1,64353.7,7741.2
1719145800000,64353.8,64377.4,64353.7,64369.0,11738.3
1719146700000,64369.1,64382.0,64362.5,64382.0,8433.7
1719147600000,64381.9,64439.1,64346.7,64349.9,31588.7
1719148500000,64349.9,64354.7,64293.8,64299.6,23945.7
1719149400000,64299.7,64338.3,64290.3,64315.1,13255.1
1719150300000,64315.0,64316.3,64265.0,64312.3,24967.1
1719151200000,64312.4,64327.8,64250.0,64259.2,29885.4
1719152100000,64259.3,64288.3,64210.0,64276.2,58490.3
1719153000000,64276.1,64302.3,64276.1,64298.6,18751.2
1719153900000,64298.7,64298.7,64156.4,64203.9,85639.9
1719154800000,64204.0,64204.0,64111.0,64185.2,73391.8
1719155700000,64185.3,64220.0,64101.0,64154.6,65829.9
1719156600000,64154.6,64186.4,64144.1,64161.6,23065.9
1719157500000,64161.6,64165.2,64070.1,64103.5,48340.4
